location,size,total_sqft,bath,price,bhk,price_per_sqft
Venugopal Reddy Layout,2 BHK,1130,2,52,2,4601.769912
Electronic City,1 BHK,550,1,12,1,2181.818182
Mahadevpura,2 BHK,1058,2,85,2,8034.026465
Hebbal,3 BHK,1269,2,73,3,5752.561072
Prithvi Layout,3 Bedroom,946,3,140,3,14799.15433
4th Block Koramangala,4 BHK,3400,6,420,4,12352.94118
Kanakpura Road,4 BHK,2689,6,245,4,9111.193752
Hennur Road,3 BHK,1976,3,65.21,3,3300.101215
Kothanur,3 BHK,1820,3,77,3,4230.769231
Uttarahalli,3 BHK,1329,2,56,3,4213.694507
Kathriguppe,3 BHK,1350,2,80.99,3,5999.259259
Nagarbhavi,4 Bedroom,1250,3,175,4,14000
Whitefield,2 BHK,1205,2,40,2,3319.502075
Manganahalli,6 Bedroom,800,6,98,6,12250
Kanakpura Road,2 BHK,1339,2,71.5,2,5339.805825
Uttarahalli,2 BHK,938,2,35,2,3731.343284
Kuvempu Nagar,1 BHK,450,1,25,1,5555.555556
BTM 2nd Stage,2 BHK,1100,2,70,2,6363.636364
2nd Stage Nagarbhavi,4 Bedroom,600,3,95,4,15833.33333
Yelahanka,2 BHK,1060,2,40,2,3773.584906
Whitefield,2 BHK,1125,2,40,2,3555.555556
Whitefield,1 BHK,810,1,21,1,2592.592593
Bellandur,2 BHK,1060,2,65,2,6132.075472
Anandapura,4 Bedroom,1749,4,90,4,5145.797599
Sahakara Nagar,3 BHK,1200,2,75,3,6250
Cleveland Town,2 BHK,1100,2,85,2,7727.272727
Rachenahalli,1 BHK,680,1,32.64,1,4800
Jalahalli East,4 Bedroom,720,4,48,4,6666.666667
Gunjur,5 Bedroom,6613,7,950,5,14365.64343
Hoodi,3 BHK,1925,3,110,3,5714.285714
Kengeri,1 BHK,502,1,25,1,4980.079681
Bommenahalli,3 Bedroom,3339,3,250,3,7487.271638
Begur,3 BHK,1475,2,74,3,5016.949153
Indra Nagar,3 BHK,1550,3,258,3,16645.16129
Peenya,2 BHK,966,2,49,2,5072.463768
t.c palya,6 Bedroom,1350,6,160,6,11851.85185
Haralur Road,2 BHK,1300,2,75,2,5769.230769
Bagalur Main Road,5 Bedroom,4400,4,350,5,7954.545455
Kogilu,3 BHK,1559,3,120,3,7697.241822
Vittasandra,2 BHK,1246,2,63,2,5056.179775
Rajaji Nagar,3 Bedroom,2790,3,950,3,34050.17921
Begur Road,3 BHK,1410,2,53.58,3,3800
Varthur Road,4 Bedroom,1300,3,75,4,5769.230769
Kanakpura Road,2 BHK,1339,2,58,2,4331.590739
Ilyas Nagar,4 Bedroom,900,4,75,4,8333.333333
Channasandra,2 BHK,1104,2,35.5,2,3215.57971
Sultan Palaya,2 BHK,900,2,45,2,5000
3rd Phase JP Nagar,3 BHK,1550,2,79,3,5096.774194
Kanakpura Road,1 BHK,670,1,35,1,5223.880597
Jakkur,2 BHK,1483,2,98,2,6608.226568
Basapura,3 BHK,1540,2,70,3,4545.454545
Naganathapura,8 Bedroom,1200,7,100,8,8333.333333
Hennur,2 BHK,1255,2,54.5,2,4342.629482
OMBR Layout,3 Bedroom,600,3,100,3,16666.66667
Jayanagar,2 BHK,1036,2,110,2,10617.76062
Bannerghatta Road,3 BHK,1460,2,75,3,5136.986301
Devarachikkanahalli,2 BHK,1230,2,58,2,4715.447154
Kanakpura Road,2 BHK,1340,2,60,2,4477.61194
Yelenahalli,3 BHK,1600,3,61.37,3,3835.625
Hegde Nagar,3 BHK,2162,3,200,3,9250.693802
Electronic City,2 BHK,919,2,40,2,4352.557127
4th Phase JP Nagar,2 BHK,1070,2,38.9,2,3635.514019
Hosur Road,3 BHK,1733,2,85,3,4904.789383
Jigani,3 BHK,1221,3,72,3,5896.805897
kanakapura main road,2 BHK,1041,2,36.44,2,3500.480307
Ambalipura,4 BHK,2550,4,149,4,5843.137255
Shampura,3 BHK,1400,3,70,3,5000
Anjanapura,1 Bedroom,600,2,55,1,9166.666667
Nagarbhavi,1 BHK,710,2,40,1,5633.802817
Electronic City,3 BHK,1500,2,78.25,3,5216.666667
Thigalarapalya,4 BHK,3122,6,237,4,7591.287636
Akshaya Nagar,3 BHK,2061,3,175,3,8491.023775
Brookefield,5 Bedroom,2400,5,325,5,13541.66667
Hebbal,3 BHK,1255,2,95,3,7569.721116
Malleshwaram,7 BHK,2425,7,140,7,5773.195876
Electronic City Phase II,2 BHK,1031,2,55,2,5334.626576
Balagere,2 BHK,1210,2,74,2,6115.702479
Anjanapura,2 BHK,950,2,40,2,4210.526316
Nagaraja Garden,4 Bedroom,1376,4,156,4,11337.2093
Hosa Road,2 BHK,1161,2,55.15,2,4750.215332
Raja Rajeshwari Nagar,2 BHK,1303,2,44.17,2,3389.869532
Thigalarapalya,2 BHK,1418,2,105,2,7404.795487
Kengeri Satellite Town,2 Bedroom,1200,2,65,2,5416.666667
Basavangudi,3 BHK,1825,3,175,3,9589.041096
Bannerghatta Road,2 BHK,1015,2,48,2,4729.064039
Mathikere,3 BHK,1150,2,60,3,5217.391304
Singasandra,2 BHK,1010,2,40,2,3960.39604
Reliaable Tranquil Layout,3 BHK,1508,3,75,3,4973.474801
7th Phase JP Nagar,2 BHK,1275,2,87,2,6823.529412
7th Phase JP Nagar,3 BHK,1460,3,70,3,4794.520548
Old Airport Road,2 BHK,946,2,58,2,6131.078224
Vignana Nagar,2 BHK,1110,2,58,2,5225.225225
Hennur Road,3 BHK,1832,3,125,3,6823.144105
Hebbal,2 BHK,1088,2,61.45,2,5647.977941
Thanisandra,3 BHK,1564,3,104,3,6649.616368
Kadugodi,2 BHK,1030,2,35.02,2,3400
9th Phase JP Nagar,2 BHK,660,2,27,2,4090.909091
Sarjapur  Road,3 BHK,1700,3,95,3,5588.235294
BTM 1st Stage,4 Bedroom,1100,5,121,4,11000
Panathur,2 BHK,1205,2,62.9,2,5219.917012
Lottegolla Halli,3 BHK,1950,3,90,3,4615.384615
Devanahalli Int. Airport,2 BHK,1080,2,62,2,5740.740741
Ardendale,4 BHK,2800,4,140,4,5000
Mailasandra,2 BHK,999,2,43.66,2,4370.37037
Basvasamithi Layout Vidyaranyapura,4 Bedroom,900,4,175,4,19444.44444
Kanakpura Road,2 BHK,1300,2,89.76,2,6904.615385
HRBR Layout,2 BHK,1265,2,78,2,6166.007905
Attibele,2 BHK,1200,2,42,2,3500
Bhoganhalli,4 BHK,1974,4,106,4,5369.807497
Chelekare,2 BHK,1180,2,40,2,3389.830508
Amruthahalli,3 BHK,1350,2,63,3,4666.666667
Kodichikkanahalli,3 BHK,1560,2,65,3,4166.666667
8th Block Jayanagar,2 Bedroom,2800,2,650,2,23214.28571
Hosakerehalli,2 BHK,1085,2,41.23,2,3800
Vijayanagar,3 BHK,1300,2,75,3,5769.230769
Marathahalli,3 BHK,1600,3,56,3,3500
Atmananda Colony,2 BHK,1127,2,55,2,4880.212955
Kengeri Satellite Town,2 BHK,795,2,32,2,4025.157233
Nagarbhavi,3 BHK,1850,3,88,3,4756.756757
Bommasandra Industrial Area,2 BHK,1020,2,29.45,2,2887.254902
Doopanahalli,3 BHK,1475,2,200,3,13559.32203
Baba Nagar,3 Bedroom,1200,3,96.25,3,8020.833333
Uttarahalli,3 BHK,1345,2,47,3,3494.423792
Kaikondrahalli,2 BHK,849,2,25.4,2,2991.755006
Kanakpura Road,3 BHK,1706,3,135,3,7913.247362
Yelahanka,4 BHK,2100,4,180,4,8571.428571
Nagadevanahalli,3 BHK,1250,2,65,3,5200
Kanakpura Road,3 BHK,1260,3,63.58,3,5046.031746
Horamavu Agara,3 BHK,1265,2,65,3,5138.339921
Abbigere,3 BHK,1260,2,45,3,3571.428571
Jalahalli,2 BHK,1045,2,58,2,5550.239234
Hebbal Kempapura,4 BHK,3895,4,495,4,12708.60077
 Rachenahalli,1 RK,412.5,1,19.8,1,4800
Bellandur,2 BHK,1100,2,62,2,5636.363636
Kudlu Gate,2 BHK,1113,2,50,2,4492.362983
Old Airport Road,4 BHK,2774,4,208,4,7498.197549
Varthur,2 BHK,1210,2,60,2,4958.677686
Kogilu,1 BHK,700,1,30.84,1,4405.714286
Kanakpura Road,2 BHK,1155,2,55.5,2,4805.194805
Hoodi,2 BHK,1132,2,89,2,7862.190813
Hennur Road,2 BHK,1359,2,104,2,7652.685798
Byatarayanapura,4 BHK,2631,3,200,4,7601.672368
Kothanur,2 BHK,1145,2,56,2,4890.829694
5th Phase JP Nagar,1 BHK,600,1,30,1,5000
Laggere,1 Bedroom,1200,1,125,1,10416.66667
Mahalakshmi Puram,2 BHK,830,2,60,2,7228.915663
HSR Layout,2 BHK,1009,2,56,2,5550.049554
Basavangudi,3 BHK,1800,3,195,3,10833.33333
Yelahanka,2 BHK,1226,2,52.71,2,4299.347471
Badrappa Layout,2 BHK,1500,2,88,2,5866.666667
Electronic City,2 BHK,1363,2,79,2,5796.038151
Poorna Pragna Layout,3 Bedroom,1400,2,240,3,17142.85714
Bommasandra Industrial Area,2 BHK,1165,2,33.64,2,2887.553648
HSR Layout,4 Bedroom,2792,4,220,4,7879.65616
Kammanahalli,1 Bedroom,700,1,59,1,8428.571429
Kaval Byrasandra,2 BHK,1060,2,42,2,3962.264151
Marathahalli,2 BHK,1200,2,67,2,5583.333333
"Off Sarjapur Road, ",3 BHK,1518,3,76,3,5006.587615
Nagappa Reddy Layout,3 BHK,1495,2,75,3,5016.722408
Sanjay nagar,2 BHK,1575,2,90,2,5714.285714
Rajaji Nagar,2 BHK,1440,2,170,2,11805.55556
Kasavanhalli,3 BHK,1545,3,69,3,4466.019417
Kengeri,3 BHK,1470,3,50,3,3401.360544
Cooke Town,3 BHK,1500,3,95,3,6333.333333
BTM Layout,3 BHK,1450,2,81,3,5586.206897
Hosur Road,2 BHK,1179,2,49,2,4156.064461
7th Phase JP Nagar,3 BHK,1650,3,110,3,6666.666667
Chandapura,3 BHK,1095,2,32,3,2922.374429
Lal Bahadur Shastri Nagar,2 BHK,856,2,48,2,5607.476636
Naganathapura,2 BHK,1143,2,62,2,5424.32196
Hebbal,2 BHK,1349,2,97.8,2,7249.814678
Anjanapura,3 BHK,1280,2,45,3,3515.625
Malleshwaram,1 BHK,480,1,60,1,12500
Whitefield,2 BHK,1216,2,69.06,2,5679.276316
Doddakallasandra,3 BHK,2493,3,115,3,4612.916165
Malleshwaram,2 BHK,1290,2,120,2,9302.325581
Banjara Layout,5 Bedroom,1200,5,96,5,8000
Electronic City,2 BHK,1156,2,42,2,3633.217993
Thanisandra,2 BHK,1230,2,44,2,3577.235772
Volagerekallahalli,2 BHK,1070,2,33.15,2,3098.130841
Ramagondanahalli,2 BHK,1235,2,49.3,2,3991.902834
6th block Koramangala,2 BHK,1117,2,110,2,9847.806625
Kundalahalli,3 BHK,1724,3,124,3,7192.575406
Jalahalli,4 Bedroom,1200,4,90,4,7500
Venkatadri Layout,1 BHK,600,1,43,1,7166.666667
KR Puram,3 BHK,1930,2,57.9,3,3000
Whitefield,2 BHK,1216,2,75,2,6167.763158
KR Puram,3 BHK,1452,3,60,3,4132.231405
Whitefield,2 BHK,1355,2,78,2,5756.457565
HMT Layout,4 Bedroom,7500,4,425,4,5666.666667
Sarjapur  Road,3 BHK,2145,3,190,3,8857.808858
Bommanahalli,2 BHK,957,2,53,2,5538.140021
Shantiniketan Layout,2 BHK,925,2,48,2,5189.189189
Bellandur,2 BHK,1550,2,59,2,3806.451613
Yelahanka New Town,4 Bedroom,4000,2,899,4,22475
Kanakpura Road,3 Bedroom,2100,3,140,3,6666.666667
Bannerghatta Road,2 BHK,1115,2,61,2,5470.852018
Yelahanka,3 BHK,1692,3,83,3,4905.437352
Baba Nagar,2 BHK,1100,2,52,2,4727.272727
Hormavu,3 BHK,1385,2,69,3,4981.949458
Hosa Road,1 BHK,760,1,24.9,1,3276.315789
Electronics City Phase 1,2 BHK,1335,2,67,2,5018.726592
Bommanahalli,2 BHK,910,2,45,2,4945.054945
Kanakpura Road,3 BHK,1610,2,55,3,3416.149068
Hennur Road,2 BHK,1341,2,75.76,2,5649.515287
Kurubarahalli,3 Bedroom,1200,3,70,3,5833.333333
Uttarahalli,3 BHK,1285,2,44.98,3,3500.389105
HAL 2nd Stage,3 BHK,2100,3,252,3,12000
Yeshwanthpur,3 BHK,1679,3,92.13,3,5487.194759
Puttappa Layout,4 Bedroom,2675,4,290,4,10841.1215
"Ananthanagar Phase 1,Electronic City , phase 2",2 BHK,1016,2,45.9,2,4517.716535
Banashankari Stage II,4 Bedroom,1500,2,650,4,43333.33333
Palace Guttahalli,3 Bedroom,660,2,100,3,15151.51515
Rajaji Nagar,3 BHK,2448,3,400,3,16339.86928
Bellandur,2 BHK,924,2,35.11,2,3799.78355
8th Phase JP Nagar,1 BHK,500,1,31,1,6200
Ngef Layout,3 BHK,1800,3,88,3,4888.888889
Whitefield,2 BHK,1255,2,77,2,6135.458167
Hennur Road,2 BHK,1040,2,50,2,4807.692308
Kattigenahalli,2 BHK,1062,2,47,2,4425.612053
Varthur Road,2 BHK,805.5,2,19.33,2,2399.751707
Hosur Road,2 BHK,950,2,60,2,6315.789474
Whitefield,2 BHK,1216,2,73,2,6003.289474
HSR Layout,2 BHK,1300,2,98,2,7538.461538
5th Phase JP Nagar,2 BHK,1390,2,65,2,4676.258993
Yelahanka,2 BHK,1033,2,52.58,2,5090.029042
Yelahanka,2 BHK,1390,2,65.31,2,4698.561151
Jalahalli,2 BHK,1020,2,52,2,5098.039216
Whitefield,1 BHK,709,1,34.735,1,4899.153738
Whitefield,2 BHK,1140,2,45,2,3947.368421
Yeshwanthpur,1 BHK,670,1,36.85,1,5500
Bhoganhalli,4 BHK,2171,4,111,4,5112.851221
Bannerghatta Road,2 BHK,1136,2,48,2,4225.352113
Doddakannelli,3 BHK,1477,2,80,3,5416.384563
KR Puram,2 BHK,1001,2,30,2,2997.002997
Yelahanka,2 BHK,1040,2,48.86,2,4698.076923
Garudachar Palya,2 BHK,1060,2,48.5,2,4575.471698
Sarjapur,2 BHK,1240,2,44.3,2,3572.580645
Byadarahalli,4 BHK,3500,5,450,4,12857.14286
Doddabommasandra,9 BHK,42000,8,175,9,416.6666667
Varthur,2 BHK,1070,2,46,2,4299.065421
Electronic City Phase II,2 BHK,1253,2,65.8,2,5251.396648
Whitefield,2 BHK,1190,2,60,2,5042.016807
Whitefield,2 BHK,1312,2,55,2,4192.073171
KR Puram,2 BHK,750,2,40,2,5333.333333
Koramangala,3 BHK,1615,3,115,3,7120.743034
Marathahalli,2 BHK,1095,2,60,2,5479.452055
Whitefield,3 BHK,1745,3,100,3,5730.659026
Rachenahalli,2 BHK,1050,2,52.5,2,5000
4th T block Jayanagar,4 Bedroom,2080,4,440,4,21153.84615
Thanisandra,2 BHK,1220,2,44.6,2,3655.737705
Kempegowda Nagar,3 BHK,1793,3,98,3,5465.699944
Uttarahalli,2 BHK,1100,1,45,2,4090.909091
Yelahanka New Town,2 BHK,1385,2,65,2,4693.140794
Begur Road,2 BHK,1200,2,45,2,3750
Haralur Road,3 BHK,2017,2,125,3,6197.322757
Attibele,1 BHK,400,1,10,1,2500
Bellandur,3 BHK,1400,2,44.81,3,3200.714286
Bethel Nagar,2 BHK,960,2,33,2,3437.5
Uttarahalli,2 BHK,1125,2,47,2,4177.777778
Akshaya Nagar,3 BHK,1551,2,60,3,3868.471954
BTM Layout,4 Bedroom,600,4,122,4,20333.33333
Vittasandra,2 BHK,1246,2,67.4,2,5409.309791
Whitefield,4 BHK,3200,4,224,4,7000
Marathahalli,2 BHK,1060,2,48,2,4528.301887
Bharathi Nagar,2 BHK,1384,2,59,2,4263.00578
Byagadadhenahalli,2 BHK,620,2,23,2,3709.677419
Bommasandra,2 BHK,1005,2,39.77,2,3957.21393
Sarakki Nagar,3 Bedroom,1200,3,128,3,10666.66667
Kirloskar Layout,3 BHK,1400,3,35,3,2500
HSR Layout,3 BHK,2400,3,88,3,3666.666667
Whitefield,2 BHK,1096,2,39,2,3558.394161
Kaggadasapura,2 BHK,1180,1,50,2,4237.288136
Uttarahalli,3 BHK,1300,2,47,3,3615.384615
tc.palya,2 Bedroom,1020,2,62,2,6078.431373
Margondanahalli,2 Bedroom,600,2,35,2,5833.333333
Dollar Scheme Colony,4 BHK,3563,6,310,4,8700.533258
Konanakunte Cross,2 BHK,1165,2,47,2,4034.334764
Bellandur,3 BHK,1685,3,100,3,5934.718101
Raja Rajeshwari Nagar,3 BHK,1580,3,53.56,3,3389.873418
Balagere,2 BHK,1210,2,83,2,6859.504132
Kammasandra,2 BHK,1030,1,25.75,2,2500
Nagappa Reddy Layout,2 BHK,1100,2,43.5,2,3954.545455
Hebbal,3 BHK,1255,3,77.68,3,6189.641434
Jakkur,3 BHK,1482,3,86,3,5802.968961
Hebbal,2 BHK,1344,2,108,2,8035.714286
Kothannur,3 BHK,1275,2,39.8,3,3121.568627
Vidyaranyapura,3 Bedroom,462,3,38,3,8225.108225
Omarbagh Layout,4 BHK,3300,5,318,4,9636.363636
Panathur,2 BHK,1210,2,85,2,7024.793388
Hebbal,3 BHK,1320,3,226,3,17121.21212
Hosa Road,3 BHK,1532,3,98.13,3,6405.35248
JP Nagar,2 BHK,1245,2,110,2,8835.341365
Nagarbhavi,2 BHK,1212,2,50,2,4125.412541
Sarjapur  Road,2 BHK,1230,2,65,2,5284.552846
Indira Nagar,5 Bedroom,1000,5,180,5,18000
Ramagondanahalli,3 BHK,2257,3,159,3,7044.749668
Vittasandra,2 BHK,1246,2,65.4,2,5248.796148
Gunjur,2 BHK,1080,2,41,2,3796.296296
Varthur,3 BHK,1360,2,85,3,6250
Yelenahalli,2 BHK,1260,2,47.88,2,3800
Kengeri Satellite Town,4 Bedroom,1200,3,110,4,9166.666667
Thigalarapalya,2 BHK,1418,2,104,2,7334.273625
anjananager magdi road,3 Bedroom,1200,3,165,3,13750
Kasavanhalli,2 BHK,950,2,39,2,4105.263158
Nagarbhavi,2 BHK,1020,2,55,2,5392.156863
Electronic City Phase II,3 BHK,1400,2,40.44,3,2888.571429
Kodipalya,4 Bedroom,1440,4,88,4,6111.111111
Huskur,6 BHK,800,6,75,6,9375
Electronics City Phase 1,2 BHK,1175,2,69,2,5872.340426
Raja Rajeshwari Nagar,2 BHK,1185,2,40.17,2,3389.873418
Aishwarya Crystal Layout,3 BHK,2250,3,113,3,5022.222222
Sarjapur  Road,2 BHK,1178,2,40.43,2,3432.088285
Ulsoor,4 BHK,36000,4,450,4,1250
Whitefield,1 BHK,825,1,44.9,1,5442.424242
Madiwala,3 BHK,1250,3,43,3,3440
Electronics City Phase 1,2 BHK,1113.12,2,55,2,4941.066552
2nd Block Jayanagar,3 BHK,1718,3,223,3,12980.20955
Gottigere,2 BHK,1010,2,35,2,3465.346535
Kanakpura Road,2 BHK,900,2,41,2,4555.555556
Syndicate Bank Colony,4 Bedroom,1500,4,240,4,16000
Rayasandra,1 Bedroom,540,1,16.5,1,3055.555556
Electronic City,2 BHK,1020,2,29.46,2,2888.235294
Hosur Road,2 BHK,1194,2,71.64,2,6000
Vijayanagar,8 Bedroom,1470,6,300,8,20408.16327
2nd Stage Nagarbhavi,3 Bedroom,600,4,100,3,16666.66667
Electronic City,2 BHK,1108,2,67.15,2,6060.469314
Hebbal,4 BHK,3895,2,451,4,11578.94737
Kanakpura Road,2 BHK,700,2,34.99,2,4998.571429
Somasundara Palya,3 BHK,1600,3,68,3,4250
Nagarbhavi,3 BHK,1850,3,90,3,4864.864865
Tumkur Road,2 BHK,1250,2,33,2,2640
Ramamurthy Nagar,1 Bedroom,600,1,43,1,7166.666667
Raja Rajeshwari Nagar,2 BHK,1140,2,49.27,2,4321.929825
CQAL Layout,3 BHK,1200,2,75,3,6250
Nayandanahalli,2 BHK,985,2,55,2,5583.756345
Bellandur,2 BHK,982,2,55,2,5600.814664
9th Phase JP Nagar,1 BHK,600,1,20,1,3333.333333
Old Madras Road,3 BHK,2640,5,142,3,5378.787879
Akshaya Nagar,2 BHK,1314,2,68.8,2,5235.920852
Vijaya Bank Layout,3 BHK,1700,2,68.5,3,4029.411765
1st Phase JP Nagar,2 BHK,1077,2,93,2,8635.097493
Varanasi,5 BHK,2000,4,99,5,4950
DUO Layout,3 BHK,1643,3,75,3,4564.82045
Kengeri,3 Bedroom,1200,3,67,3,5583.333333
Whitefield,2 BHK,1116,2,51.91,2,4651.433692
Abbigere,2 BHK,1020,2,41.82,2,4100
Vittasandra,7 Bedroom,621,7,64,7,10305.95813
Daadys Gaarden Layout,3 BHK,1740,3,55,3,3160.91954
GM Palaya,2 BHK,1225,2,47,2,3836.734694
Thanisandra,3 BHK,1241,2,61,3,4915.390814
Hennur,2 BHK,1041,2,40.6,2,3900.096061
Bommanahalli,2 BHK,1050,2,46,2,4380.952381
Srinivas Colony,3 BHK,4400,3,901,3,20477.27273
Kanakpura Road,2 BHK,1309,2,64.39,2,4919.022154
Dodda Nekkundi,2 BHK,1128,2,45,2,3989.361702
Raja Rajeshwari Nagar,3 BHK,1430,2,50,3,3496.503497
Old Madras Road,2 BHK,1065,2,47.86,2,4493.896714
OMBR Layout,2 BHK,1085,2,64,2,5898.617512
Vishveshwarya Layout,1 Bedroom,750,1,30,1,4000
Bellandur,2 BHK,981,2,37.28,2,3800.203874
Bhoganhalli,4 BHK,1548.3,4,129,4,8331.718659
Hebbal Kempapura,4 BHK,2302,4,300,4,13032.14596
Kalyan nagar,3 BHK,1410,2,60,3,4255.319149
Hosa Road,3 BHK,1525.84,3,117,3,7667.907513
Begur Road,2 BHK,1200,2,42.6,2,3550
Sampangi Rama Nagar,2 BHK,1030,2,80,2,7766.990291
BTM 1st Stage,3 BHK,1852,2,95,3,5129.589633
Electronic City,2 BHK,1160,2,33.5,2,2887.931034
Jigani,2 BHK,918,2,49,2,5337.690632
Hebbal,3 BHK,1255,2,90,3,7171.314741
HRBR Layout,6 Bedroom,1200,6,250,6,20833.33333
JP Nagar,3 BHK,1150,2,49.9,3,4339.130435
Indira Nagar,3 BHK,2700,3,324,3,12000
Moodalapalya,2 BHK,1150,2,69,2,6000
Whitefield,2 BHK,1227,2,53.49,2,4359.413203
Hebbal,3 BHK,1255,3,77.68,3,6189.641434
Moodalapalya,6 Bedroom,840,8,120,6,14285.71429
Panathur,2 BHK,1198,2,82,2,6844.741235
 Devarachikkanahalli,3 Bedroom,1200,3,160,3,13333.33333
Nelamangala,4 Bedroom,2600,3,95,4,3653.846154
Thigalarapalya,3 BHK,2072,4,139,3,6708.494208
Pattandur Agrahara,2 BHK,797,2,32,2,4015.056462
Nayandanahalli,3 BHK,1350,2,68,3,5037.037037
Sahakara Nagar,4 BHK,2500,4,200,4,8000
Thigalarapalya,3 BHK,2215,4,160,3,7223.476298
Kanakpura Road,1 BHK,525,1,30,1,5714.285714
Bannerghatta Road,4 BHK,2700,4,260,4,9629.62963
Gokaula Extension,3 BHK,1500,2,90,3,6000
Subash Nagar,2 Bedroom,900,2,55,2,6111.111111
Poorna Pragna Layout,3 BHK,1355,2,58.27,3,4300.369004
Kudlu Gate,3 BHK,1465,2,49.81,3,3400
Ramamurthy Nagar,2 Bedroom,1006,2,57,2,5666.003976
Vishveshwarya Layout,4 BHK,2000,4,75,4,3750
Electronic City,2 BHK,1128,2,65.7,2,5824.468085
Pattanagere,2 BHK,850,2,35,2,4117.647059
ISRO Layout,3 BHK,1310,2,68,3,5190.839695
Banashankari,2 BHK,1390,2,86,2,6187.05036
Kathriguppe,3 BHK,1390,2,76.45,3,5500
Marathahalli,4 Bedroom,2396,4,325,4,13564.27379
Electronic City,2 BHK,1170,2,33,2,2820.512821
Gottigere,3 BHK,1385,2,50,3,3610.108303
Old Madras Road,2 BHK,1160,2,42,2,3620.689655
Electronic City Phase II,2 BHK,1160,2,33.5,2,2887.931034
Bannerghatta Road,3 BHK,1200,2,69,3,5750
Mahadevpura,2 BHK,1475,2,55,2,3728.813559
Sarjapur  Road,3 Bedroom,1939,3,98,3,5054.151625
7th Phase JP Nagar,2 BHK,850,2,42,2,4941.176471
Balagere,1 BHK,675,1,45,1,6666.666667
Electronic City,2 BHK,1060,2,51,2,4811.320755
Whitefield,2 BHK,1235,2,47,2,3805.668016
RTO ullalu,2 Bedroom,600,4,110,2,18333.33333
Austin Town,2 BHK,1250,2,60,2,4800
Banashankari,2 BHK,1460,2,70,2,4794.520548
Akshaya Nagar,3 BHK,1690,3,85,3,5029.585799
Indira Nagar,1 BHK,850,1,57,1,6705.882353
Kanakpura Road,3 BHK,1843,3,82,3,4449.267499
7th Phase JP Nagar,3 BHK,1680,3,117,3,6964.285714
Kundalahalli,2 BHK,1047,2,84,2,8022.922636
8th Phase JP Nagar,2 BHK,1100,2,35,2,3181.818182
Indira Nagar,8 Bedroom,3250,8,600,8,18461.53846
Nagarbhavi,2 BHK,1120,2,53,2,4732.142857
Raja Rajeshwari Nagar,2 BHK,1095,2,38.33,2,3500.456621
Carmelaram,2 BHK,970,2,35,2,3608.247423
Bommanahalli,5 Bedroom,1200,7,125,5,10416.66667
Hosa Road,3 BHK,1100,2,85,3,7727.272727
Uttarahalli,3 BHK,1685,3,85,3,5044.510386
Doddanekundi,2 BHK,1148,2,59,2,5139.372822
Marathahalli,2 BHK,1050,2,65,2,6190.47619
Bannerghatta Road,3 BHK,1465,2,76,3,5187.713311
Kothanur,4 Bedroom,3401,5,230,4,6762.716848
Electronic City,1 BHK,630,1,60,1,9523.809524
7th Phase JP Nagar,3 BHK,1850,3,150,3,8108.108108
Vidyaranyapura,9 Bedroom,1200,9,175,9,14583.33333
Cottonpet,4 Bedroom,1750,2,225,4,12857.14286
Shikaripalya,3 BHK,1350,3,60,3,4444.444444
Sector 7 HSR Layout,3 BHK,1760,3,160,3,9090.909091
Rajaji Nagar,2 BHK,1440,2,185,2,12847.22222
Banashankari Stage III,2 BHK,1200,2,42,2,3500
Hennur Bande,2 BHK,1100,2,78,2,7090.909091
Kaggadasapura,2 BHK,1140,2,46,2,4035.087719
Hormavu,3 BHK,1617.5,3,73.595,3,4549.92272
Gottigere,2 BHK,1410,2,45,2,3191.489362
Mahadevpura,3 BHK,1434,2,67.39,3,4699.44212
"ravindra nagar, T.dasarahalli peenya",2 Bedroom,1180,2,74,2,6271.186441
Begur Road,2 BHK,1160,2,42,2,3620.689655
EPIP Zone,2 BHK,1343,2,86,2,6403.574088
LB Shastri Nagar,2 BHK,1184,2,69,2,5827.702703
Koramangala,3 BHK,2246,3,300,3,13357.07925
Rajankunte,3 Bedroom,4510,4,200,3,4434.5898
Banashankari Stage III,3 BHK,1305,2,59,3,4521.072797
Sarjapur  Road,4 BHK,3785,5,280,4,7397.622193
1st Block BEL Layout,3 BHK,1540,3,85,3,5519.480519
Kanakpura Road,3 BHK,1550,3,65.11,3,4200.645161
Yelahanka,3 BHK,1345,2,57,3,4237.918216
Electronic City Phase II,3 BHK,975,2,45,3,4615.384615
HSR Layout,2 BHK,1140,2,46,2,4035.087719
JP Nagar,2 BHK,1152,2,34.56,2,3000
Old Airport Road,4 Bedroom,3200,4,700,4,21875
Kodathi,3 BHK,1033,2,31.5,3,3049.370765
Richards Town,3 BHK,1800,3,230,3,12777.77778
Marathahalli,2 BHK,1102,2,53.67,2,4870.235935
Subramanyapura,3 BHK,1223,2,42.81,3,3500.408831
Kadugodi,3 BHK,1762,3,112,3,6356.413167
Kengeri Satellite Town,2 BHK,560,2,16.6,2,2964.285714
KR Puram,6 Bedroom,2000,6,85,6,4250
Electronic City,3 BHK,1410,2,38,3,2695.035461
Thanisandra,3 BHK,1853,3,64.86,3,3500.269833
Kothanur,2 BHK,1455,2,69,2,4742.268041
Hebbal,2 BHK,1138,2,110,2,9666.080844
Sarjapur  Road,3 Bedroom,2556,3,169,3,6611.893584
TC Palaya,3 BHK,1200,2,66.5,3,5541.666667
